year,turnout_percent,notes
1975,91.7,Constituent Assembly election
1976,83.5,Assembly of the Republic
1979,82.9,Assembly of the Republic
1980,83.9,Assembly of the Republic
1983,77.8,Assembly of the Republic
1985,74.2,Assembly of the Republic
1987,71.6,Assembly of the Republic
1991,67.8,Assembly of the Republic
1995,66.3,Assembly of the Republic
1999,61.1,Assembly of the Republic
2002,61.5,Assembly of the Republic
2005,64.3,Assembly of the Republic
2009,59.7,Assembly of the Republic
2011,58.0,Assembly of the Republic
2015,55.8,Assembly of the Republic
2019,48.6,Assembly of the Republic
2022,51.5,Assembly of the Republic
2024,59.9,Assembly of the Republic
2025,58.23,Assembly of the Republic
