year,turnout_percent,notes,source_note
1975,91.7,Constituent Assembly election,Repository series; historical values require official revalidation.
1976,83.5,Assembly of the Republic,Repository series; historical values require official revalidation.
1979,82.9,Assembly of the Republic,Repository series; historical values require official revalidation.
1980,83.9,Assembly of the Republic,Repository series; historical values require official revalidation.
1983,77.8,Assembly of the Republic,Repository series; historical values require official revalidation.
1985,74.2,Assembly of the Republic,Repository series; historical values require official revalidation.
1987,71.6,Assembly of the Republic,Repository series; historical values require official revalidation.
1991,67.8,Assembly of the Republic,Repository series; historical values require official revalidation.
1995,66.3,Assembly of the Republic,Repository series; historical values require official revalidation.
1999,61.1,Assembly of the Republic,Repository series; historical values require official revalidation.
2002,61.5,Assembly of the Republic,Repository series; historical values require official revalidation.
2005,64.3,Assembly of the Republic,Repository series; historical values require official revalidation.
2009,59.7,Assembly of the Republic,Repository series; historical values require official revalidation.
2011,58.0,Assembly of the Republic,Repository series; historical values require official revalidation.
2015,55.8,Assembly of the Republic,Repository series; historical values require official revalidation.
2019,48.6,Assembly of the Republic,Repository series; historical values require official revalidation.
2022,51.5,Assembly of the Republic,Repository series; historical values require official revalidation.
2024,59.9,Assembly of the Republic,Repository series; historical values require official revalidation.
2025,58.25,Assembly of the Republic,2025 updated to final official CNE turnout. Earlier years still require official revalidation.
